NONFAT MILK
LACTOSE
VEGETABLE OIL
PALM OLEIN
SOY
COCONUT
AND HIGH OLEIC SUNFLOWER OILS
WHEY PROTEIN CONCENTRATE
GALACTOOLIGOSACCHARIDES*
POLYDEXTROSE
AND LESS THAN 1%: MORTIERELLA ALPINA OIL**
CRYPTHECODINIUM COHNII OIL++
CALCIUM CARBONATE
POTASSIUM CITRATE
FERROUS SULFATE
POTASSIUM CHLORIDE
MAGNESIUM OXIDE
SODIUM CHLORIDE
ZINC SULFATE
CUPRIC SULFATE
MANGANESE SULFATE
SODIUM SELENITE
SOY LECITHIN
CHOLINE CHLORIDE
ASCORBIC ACID
NIACINAMIDE
CALCIUM PANTHOTHENATE
VITAMIN A PALMITATE
VITAMIN B12
VITAMIN D3
RIBOFLAVIN
THIAMIN HYDROCHLORIDE
VITAMIN B6
HYDROCHLORIDE
FOLIC ACID
VITAMIN K1
BIOTIN INOSITOL
VITAMIN E ACETATE
NUCLEOTIDES
CYTIDINE 5'-MONOPHOSPHATE
DISODIUM GUANOSINE 5'-MONOPHOSPHATE
TAURINE
L-CARNITINE
