Corn Syrup
Milk Protein Isolate
High Oleic Safflower Oil
Sugar
Soy Oil
Coconut Oil
Less than 2% of:
C Cohnii Oil
M Alpina Oil
2'-Fucosyllactose
Fructooligosaccharides
Beta-Carotene
Lutein
Lycopene
Potassium Chloride
Sodium Citrate
Calcium Phosphate
Potassium Citrate
Magnesium Phosphate
Ascorbic Acid
Choline Chloride
Ascorbyl Palmitate
Ferrous Sulfate
Choline Bitartrate
Taurine
m-Inositol
Magnesium Chloride
Zinc Sulfate
Calcium Carbonate
L-Carnitine
Mixed Tocopherols
Niacinamide
d-Alpha-Tocopheryl Acetate
Calcium Pantothenate
Vitamin A Palmitate
Copper Sulfate
Thiamine Chloride Hydrochloride
Riboflavin
Pyridoxine Hydrochloride
Folic Acid
Manganese Sulfate
Potassium Iodide
Phylloquinone
Biotin
Sodium Selenate
Vitamin D3
Vitamin B12
Potassium Hydroxide
Nucleotides
Adenosine 5\ufffd-Monophosphate
Cytidine 5\ufffd-Monophosphate
Disodium Guanosine 5\ufffd-Monophosphate
Disodium Uridine 5\ufffd-Monophosphate
